App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:35:23 AM",1 min 2 sec,Sequential.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
3988,1,4088,1,4088,1157832,4088,320000,4089,0,4085,1958400,4086,1958400,4087,0,4088,0,4086,0,4087,100,4087,0,4088,0
4088,1,4188,1,4188,1343501,4189,320000,4189,0,4185,1190400,4186,1958400,4187,0,4188,0,4186,50,4187,100,4188,0,4188,0
4188,1,4288,1,4289,1201700,4289,320000,4290,0,4285,960000,4287,1958400,4288,0,4288,0,4286,20,4287,100,4288,0,4288,0
4289,1,4388,1,4389,1157832,4389,320000,4390,0,4386,960000,4387,1958400,4388,0,4388,0,4387,0,4388,100,4388,0,4389,0
4389,1,4489,1,4490,1181959,4490,320000,4491,0,4486,960000,4487,1958400,4488,0,4489,0,4487,11,4488,100,4489,0,4490,0
4490,1,4589,1,4589,1267502,4590,320000,4590,0,4586,960000,4588,1958400,4589,0,4589,0,4587,50,4588,100,4589,0,4589,0
4590,1,4689,1,4690,1643255,4690,320000,4690,0,4687,1958400,4688,1958400,4689,0,4689,0,4687,42,4688,100,4689,0,4689,0
4690,1,4789,1,4790,1184153,4790,320000,4790,0,4787,960000,4788,1958400,4789,0,4789,0,4788,12,4789,100,4789,0,4790,0
4790,1,4890,1,4890,1201700,4891,320000,4891,0,4887,960000,4888,1958400,4889,0,4890,0,4888,20,4889,100,4889,0,4890,0
4890,1,4990,1,4990,1469890,4991,320000,4991,0,4987,1958400,4988,1958400,4989,0,4990,0,4988,27,4989,100,4990,0,4990,0
4990,1,5090,1,5091,1388986,5091,320000,5091,0,5088,1958400,5089,1958400,5090,0,5090,0,5088,20,5089,100,5090,0,5090,0
5091,1,5190,1,5191,1245568,5191,320000,5192,0,5188,960000,5189,1958400,5190,0,5190,0,5189,40,5190,100,5190,0,5191,0
5191,1,5291,1,5291,1223634,5291,320000,5292,0,5288,960000,5289,1958400,5290,0,5291,0,5289,30,5290,100,5290,0,5291,0
5291,1,5391,1,5391,1181959,5392,320000,5392,0,5388,960000,5390,1958400,5391,0,5391,0,5389,11,5390,100,5391,0,5391,0
5392,1,5491,1,5492,1217054,5492,320000,5493,0,5489,960000,5490,1958400,5491,0,5491,0,5490,27,5491,100,5491,0,5492,0
5492,1,5591,1,5592,1631697,5592,320000,5593,0,5589,1958400,5590,1958400,5591,0,5592,0,5590,41,5591,100,5591,0,5592,0
5592,1,5692,1,5692,1585466,5692,320000,5693,0,5689,1958400,5690,1958400,5691,0,5692,0,5690,37,5691,100,5691,0,5692,0
5692,1,5792,1,5792,1469890,5793,320000,5793,0,5789,1958400,5791,1958400,5792,0,5792,0,5790,100,5791,27,5792,0,5792,0
5792,1,5893,1,5894,1273409,5895,320000,5896,0,5890,1958400,5891,1958400,5892,0,5893,0,5891,100,5892,10,5892,0,5894,0
5894,1,5995,1,5996,1197313,5997,320000,5998,0,5990,1958400,5992,960000,5994,0,5995,0,5992,100,5994,18,5994,0,5996,0
5996,1,6094,1,6094,1084942,6095,320000,6095,0,6090,1958400,6092,960000,6094,0,6094,0,6092,88,6093,30,6094,0,6094,0
6095,1,6193,1,6194,1042255,6195,320000,6195,0,6191,1958400,6192,1958400,6193,0,6194,0,6192,90,6192,0,6193,0,6194,0
6194,1,6294,1,6294,1712601,6295,320000,6296,0,6291,1958400,6292,1958400,6293,0,6294,0,6292,88,6293,60,6293,0,6294,0
6295,1,6395,1,6396,839867,6397,320000,6397,0,6391,1958400,6393,960000,6394,0,6395,0,6393,63,6394,50,6395,0,6396,0
6396,1,6497,1,6498,1177572,6499,320000,6499,0,6492,1958400,6494,960000,6496,0,6497,0,6493,100,6495,9,6496,0,6498,0
6498,1,6595,1,6595,1365870,6596,320000,6596,0,6592,1958400,6594,1958400,6595,0,6595,0,6593,30,6594,88,6595,0,6595,0
6596,1,6695,1,6695,1388986,6695,320000,6696,0,6692,1958400,6693,1958400,6694,0,6695,0,6693,50,6694,70,6694,0,6695,0
6695,1,6795,1,6795,1504563,6796,320000,6796,0,6792,1958400,6794,1958400,6794,0,6795,0,6793,90,6794,40,6795,0,6795,0
6795,1,6896,1,6896,1224363,6897,320000,6897,0,6893,1958400,6894,1728000,6895,0,6896,0,6894,30,6895,100,6895,0,6896,0
6896,1,6996,1,6996,1365870,6997,320000,6997,0,6993,1958400,6994,1958400,6995,0,6996,0,6994,28,6995,90,6995,0,6996,0
6996,1,7096,1,7097,1620140,7097,320000,7097,0,7093,1958400,7094,1958400,7095,0,7096,0,7094,40,7095,100,7096,0,7096,0
7097,1,7197,1,7197,1157832,7198,320000,7199,0,7193,1958400,7195,1958400,7196,0,7197,0,7194,100,7196,0,7196,0,7197,0
7198,1,7297,1,7298,1157832,7298,320000,7299,0,7294,1958400,7295,1958400,7296,0,7297,0,7295,100,7296,0,7297,0,7298,0
7298,1,7398,1,7399,1302596,7400,320000,7400,0,7394,1958400,7396,960000,7398,0,7399,0,7396,100,7397,66,7398,0,7399,0
7399,1,7499,1,7500,1236794,7501,320000,7501,0,7495,1958400,7497,960000,7499,0,7500,0,7496,100,7498,36,7499,0,7500,0
